nama_makanan,foto,deskripsi_menu,komposisi,berat_g,energi_kkal,protein_gram,lemak_gram,karbohidrat_gram,gula_gram,natrium_mg,serat_gram,zat_besi_mg,kalsium_mg,protein_persen,lemak_persen,gula_persen,garam_persen,serat_persen,zat_besi_persen,kalsium_persen,skor_zat_gizi,kategori
Mie Ayam (Tanpa Pangsit),https://drive.google.com/file/d/1vUNETL9NE53VvUkEJj_7oXaGsZ1BoOlT/view?usp=drive_link,"Hidangan mie yang disajikan dengan topping ayam berbumbu gurih, dilengkapi dengan bakso sapi kenyal dan kerupuk pangsit yang renyah.","Mie Basah, Daging Ayam, Sawi Hijau, Bakso, Kerupuk Pangsit, Kecap Asin, Minyak Bawang, Chili Oil",257,457.3,13.5,20.1,55.2,0.3,77.8,3.5,1.5,34,10,0,10,0,3,0,0,23,Makanan
Pempek Isi Telur Tanpa Kuah Cuko,https://drive.google.com/file/d/1vKk3h1VYjnj98z9D39ScPS23rz8ABahE/view?usp=sharing,Olahan tepung yang dibentuk dan diisi telur.,"Tepung Tapioka, Tepung Terigu, Bawang Putih, Garam, Penyedap, Lada, Daun Bawang, Air, Telur Ayam",40,63.1,1.1,0.3,14.3,0.4,252.5,0.1,0.3,15,3,10,10,0,0,0,0,23,Makanan
Cilok,https://drive.google.com/file/d/1vKrsumTm3c7sADLlYdDHYTCPM1ns7_Wm/view?usp=sharing,"Cemilan yang terbuat dari tepung tapioka (aci) yang dibentuk bulat dan direbus hingga kenyal, disajikan dengan bumbu kacang.","Tepung Tapioka, Tepung Terigu, Bawang Putih, Garam, Penyedap, Lada, Daun Bawang, Air",40,89.4,1.3,0.2,21.2,0.5,413.1,0.2,0.3,17.9,0,10,10,0,0,0,0,20,Makanan
Nasi Goreng Ayam Katsu,https://drive.google.com/file/d/1vNFxcuUCQ_gz3PC20xFypBC5VkON5AHH/view?usp=sharing,"Hidangan nasi goreng yang dimasak dengan kecap manis, disajikan dengan ayam katsu renyah.","Nasi, Bumbu Instan Nasi Goreng, Kecap Manis, Minyak, Ayam, Bakso, Daun Bawang",225,612,10.7,30.4,72.8,2.5,1176.8,1.2,1.1,46.5,3,0,10,0,0,0,0,13,Makanan
Martabak Tahu,https://drive.google.com/file/d/1-OOBh-ardh73vsgDumv6mN8Go5-f3FwI/view?usp=drive_link,"Cemilan gurih yang terbuat dari campuran tahu, daun bawang, dan bumbu rempah, dibungkus kulit lumpia lalu digoreng hingga renyah keemasan.","Tahu Putih, Telur, Daun Bawang, Kulit Lumpia, Garam, Minyak",50.67,88.5,4.9,6.8,2.4,0.1,159.9,0.1,1.7,69.1,10,0,10,0,0,10,7,37,Makanan
Jus Jambu,https://drive.google.com/file/d/1v2QJMHnzA_RXcvFszfxSBRZaEVq3KGRG/view?usp=sharing,"Minuman yang diolah dari jambu biji, disajikan dalam tekstur halus dan rasanya yang manis.","Jambu Biji, Gula, Susu Kental Manis, Air",135.5,48.6,0.5,0.7,10.6,8,8.9,1,0.5,21.9,0,10,0,0,10,10,10,40,Minuman
Nasi Ayam Geprek Tanpa Timun (Porsi Lebih Kecil),https://drive.google.com/file/d/1vC5WrQPDzWVLbI5C-zEvpsieGwNS7vkC/view?usp=drive_link,Nasi Putih yang disajikan dengan ayam goreng tepung yang digeprek dan sambal bawang.,"Nasi, Daging Ayam, Tepung Terigu, Garam, Penyedap, Minyak",225,510.9,13.7,22.2,63.3,0,665.8,0.3,1.4,44.9,10,0,10,0,0,0,0,20,Makanan
Ayam Katsu (Porsi Lebih Besar),https://drive.google.com/file/d/1vF0mTtlsY9iVZtSQCAN5A8j8VqfjmrcP/view?usp=drive_link,Potongan fillet ayam tanpa tulang berbalut tepung roti atau panir yang digoreng hingga berwarna keemasan dan renyah.,"Daging Ayam, Tepung Terigu, Tepung Panir, Garam, Penyedap, Air, Minyak",40,120.5,4.3,9.5,4.8,0,117.3,0.2,0.5,10.5,10,0,10,0,0,0,0,20,Makanan
Sayur Tahu Kacang Panjang,https://drive.google.com/file/d/1xSBzkSJNfydSe8yeMxfIXSgFwm5PxnG4/view?usp=drive_link,Hidangan yang terdiri dari potongan tahu dan kacang panjang yang dimasak dengan bumbu tumis gurih.,"Tahu, Kacang Panjang, Bawang Merah, Bawang Putih, Kecap Manis, Saus Tiram, Garam, Gula, Penyedap, Minyak",65,58.5,4.6,3.3,3.4,1.5,916.7,0.5,1.5,93.8,10,0,0,0,7,0,0,17,Makanan
Sayur Tahu Bumbu Kuning,https://drive.google.com/file/d/1viGrj_6DFNTG5v37SdBruxhvcq4TbWg5/view?usp=drive_link,Olahan tahu yang dimasak dalam kuah bumbu kuning khas berbahan dasar kunyit.,"Tahu Coklat, Ketumbar, Kunyit, Bawang Merah, Bawang Putih, Garam, Minyak",76,46.2,2.9,3.7,1,0.1,173,0.2,0.9,62.6,10,0,10,0,0,10,0,30,Makanan
Otak-Otak Goreng,https://drive.google.com/file/d/1peRQWOCU9yWLnO-piDTsGm-0pmoKDAgU/view?usp=drive_link,Cemilan berbahan dasar tepung dan ikan yang digoreng hingga berwarna keemasan dan renyah di luar namun tetap lembut di dalam.,"Otak-otak, Minyak",20,38,0.9,1.6,4.8,0,84.6,0,0,0,7,0,10,0,0,0,0,17,Makanan
Bakso Goreng,https://drive.google.com/file/d/19KtqAx8cPmRJYeB7WBe7itCBiKy7ecno/view?usp=drive_link,Cemilan yang terbuat dari adonan daging digoreng hingga kecokelatan dengan tekstur renyah di luar dan empuk di dalam.,"Bakso, Minyak",25,56.2,1.8,3.6,4.2,0,207.5,0,0,0,10,0,10,0,0,0,0,20,Makanan
Nasi Kuning,https://drive.google.com/file/d/1sma5k_3MjiSWfIPwZufxPkARDvwKKjKR/view?usp=sharing,"Nasi kuning gurih dengan aroma khas kunyit dan santan, disajikan lengkap dengan telur dadar iris, tempe orek, dan mie goreng.","Nasi, Santan, Penyedap, Minyak, Telur, Tempe, Kecap, Gula, Mie Basah",233,731.5,18.6,15,131.3,1.7,1187.2,2.2,4,261.9,10,10,10,0,0,3,10,43,Makanan
Roti Bakar Gembong,https://drive.google.com/file/d/1splWiHGK8N-fsbwv2ymLNW3snQJmf2sl/view?usp=drive_link,"Roti bakar berukuran besar dengan tekstur lembut dan empuk, dipanggang ringan hingga permukaannya renyah, lalu diisi atau dilapisi berbagai varian topping manis.","Roti Tawar, Selai Coklat, Margarin, Susu Kental Manis Coklat",182,656.4,11.5,27.1,86,26.5,893.6,11.1,1.8,30.9,3,0,0,0,10,0,0,13,Makanan
Mie Ayam (Tanpa Bakso),https://drive.google.com/file/d/1h501-ojbIwt_XTEEbZDOhlI57BympYEl/view?usp=sharing,Hidangan mie yang disajikan dengan topping ayam berbumbu gurih dilengkapi dengan kerupuk pangsit yang renyah.,,107.3,244.7,7,18.3,13.2,0.7,377,1.1,1.7,70,10,0,10,0,0,3,0,23,Makanan
Bakwan,https://drive.google.com/file/d/1JQbH-3s_y8NK3Ru60_ntsRzc7i69besY/view?usp=drive_link,"Gorengan tradisional Indonesia yang terbuat dari campuran sayuran seperti kol dan wortel, dibalut adonan tepung berbumbu, lalu digoreng hingga renyah keemasan.","Wortel, Kol Putih, Tepung Terigu, Garam, Lada, Penyedap, Minyak",36,59.5,1.1,2.5,8.9,0.4,211.1,0.2,0.2,10,3,0,10,0,0,0,0,13,Makanan
Tahu Isi,https://drive.google.com/file/d/1MRQlHxUToidQjj0G1-idWwGSQj8NpP56/view?usp=drive_link,"Tahu goreng berisi tumisan wortel dan tauge yang dibumbui gurih, kemudian dibalut adonan tepung dan digoreng hingga renyah berwarna keemasan.","Tahu Coklat, Wortel, Tauge, Tepung Terigu, Garam, Lada, Penyedap, Minyak",35,75.2,2.7,5.1,5.7,0.3,114.9,0.2,0.8,43.4,10,0,10,0,0,10,7,37,Makanan
Pisang Goreng,https://drive.google.com/file/d/1WdZiLRqDGqt7RlSCtFG-OtXQw-siK8tI/view?usp=drive_link,"Pisang matang yang dilapisi adonan tepung berbumbu gurih, kemudian digoreng hingga berwarna keemasan dengan tekstur renyah di luar dan lembut manis di dalam.","Pisang Uli, Tepung Terigu, Garam, Minyak",36,79.8,0.7,3.4,13.2,5.3,120.3,0.4,0.3,9.8,0,0,0,0,3,0,0,3,Makanan
Tempe Goreng Tepung (Porsi Lebih Sedikit),https://drive.google.com/file/d/1dys4ISd4I7fdeQjzdgp1abFlI7BMQL2Q/view?usp=drive_link,"Irisan tempe yang dibalut dengan adonan tepung berbumbu, lalu digoreng hingga renyah.","Tempe, Tepung Terigu, Garam, Lada, Penyedap, Minyak",14,33.6,1.7,2.3,1.9,0.2,6.1,0.1,0.3,12.9,10,0,10,0,0,7,10,37,Makanan
Nasi Chicken Katsu (Dengan Salad),https://drive.google.com/file/d/1t17A6sozzKVxMQnry0I6ZijuRFqMsfBf/view?usp=sharing,"Nasi yang disajikan dengan potongan daging ayam dibalur tepung, digoreng hingga keemasan, lalu dilengkapi dengan salad.","Nasi, Daging Ayam, Tepung Roti, Tepung Terigu, Minyak, Penyedap, Wortel, Kol, Mayonnaise, Saus Sambal",278,620.6,19.9,28.7,69.3,0.8,262.6,1.2,2.5,79.5,10,0,10,10,0,0,0,30,Makanan
Wonton Chili Oil,https://drive.google.com/file/d/17zpFk1RCbXhWDkFDRMLIKI-HcNfaEUIk/view?usp=drive_link,Pangsit isi daging yang lembut disajikan dalam kuah gurih dengan sentuhan minyak cabai (chili oil) yang memberikan cita rasa pedas.,"Pangsit Kulit, Daging Ayam Halus, Tepung Tapioka, Garam, Putih Telur, Gula, Saus Tiram, Odeng, Kwetiaw, Jamur Enoki, Daun Bawang, Kecap Asin, Kecap Manis, Penyedap, Lada, Minyak",195,461.3,19.7,19.1,51.6,2.3,1098.3,1.2,2.1,68.4,10,0,10,0,0,0,0,20,Makanan
Nasi Rames,https://drive.google.com/file/d/1naAduoq33gUl2SZqPRKOPfueoW9Xqd6R/view?usp=sharing,Nasi putih yang dipadukan dengan beragam lauk pauk dalam satu piring.,"Nasi, Telur, Garam, Gula, Penyedap, Usus, Kerang, Minyak, Kentang",311,521.4,17.8,20.6,64.9,7.9,1091.2,4.3,7.5,201.5,10,0,3,0,3,10,10,36,Makanan
Jasuke,https://drive.google.com/file/d/1eHoREl6QWDopl2rDt3nBthrsJsmn7eHs/view?usp=drive_link,"Jagung manis kukus yang disajikan dengan susu kental manis, keju parut, dan taburan meses coklat.","Jagung Pipil, Susu Kental Manis, Keju, Meses, Margarin",94.6,261.1,4,9.7,41,17.9,199.6,0.6,0.5,174.1,0,0,0,7,0,0,7,14,Makanan
Nasi Ayam Geprek (Sayap),https://drive.google.com/file/d/1sm-z3TbJCsbyPY4ZTGl7E2BNl8kz1tWh/view?usp=sharing,"Ayam goreng tepung bagian sayap yang digeprek atau ditumbuk, lalu disajikan bersama sambal pedas, nasi putih, dan juga timun.","Nasi, Daging Ayam Bagian Sayap, Tepung Terigu, Penyedap, Minyak, Cabai Rawit",398,967.2,28.1,51.7,97.9,2.2,1073.3,2.7,3,80.2,10,0,10,0,0,0,0,20,Makanan
Nasi Chicken Karage,https://drive.google.com/file/d/1Ua858xCoEloyLwC0Hx5rlVO8K3b6aD61/view?usp=sharing,Nasi putih yang dipadukan dengan potongan ayam goreng yang dibalut tepung ringan dan digoreng hingga renyah.,"Nasi, Daging Ayam Fillet, Tepung Terigu, Minyak, Garam, Selada, Kol, Wortel, Mayonnaise, Saus Teriyaki, Saus Sambal",260,563.5,15.4,19,81,0,95.1,0.4,1.6,55.7,10,0,10,0,0,0,0,20,Makanan
Cireng Isi Ayam Suwir,https://drive.google.com/file/d/1rfTIqU8V-os6Tkj1gAwzwppnbAvF6or2/view?usp=sharing,Olahan aci yang di goreng garing di luar tapi kenyal di dalam dan diisi dengan ayam yang di suwir.,"Tepung Tapioka, Tepung Terigu, Minyak, Garam, Penyedap, Gula, Daging Ayam",36.91,70.8,1.4,4.4,6.6,0.8,105.3,0.6,0.2,11,3,0,7,0,7,0,0,17,Makanan
Cireng Isi Keju,https://drive.google.com/file/d/1slcEscMS9gCsZr2D_LrybNM6auj9s4jQ/view?usp=sharing,Olahan aci yang di goreng garing di luar tapi kenyal di dalam dan diisi dengan keju.,"Tepung Tapioka, Tepung Terigu, Minyak, Garam, Penyedap, Gula, Keju",29.8,51,0.2,3,6.1,0.2,57.1,0.1,0.1,9,0,0,10,0,0,0,0,10,Makanan
Nasi Daun Jeruk,https://drive.google.com/file/d/1VHDOM-FcB1XIZDzDXZ_X_MUK2QEwWn9-/view?usp=sharing,Nasi yang dimasak bersama daun jeruk dengan lauk pelengkap.,"Nasi, Daun Jeruk, Margarin, Penyedap, Minyak, Telur, Daging Ayam, Jahe, Lengkuas, Kecap Manis, Gula, Garam, Daun Salam, Serai, Tepung Sagu, Tepung Beras, Baking Powder",262.1,623.7,15.5,27.6,76.3,0.1,401.4,0.6,2.1,133.5,7,0,10,10,0,0,0,27,Makanan
Dimsum (Porsi Sedang),https://drive.google.com/file/d/1QA2AnAbhYxi969XFHqPIPbf-dYDvHgg-/view?usp=drive_link,"Hidangan dimsum ukuran sedang yang dibuat dengan campuran daging ayam, tepung dan bumbu yang di bungkus dengan kulit pangsit atau kulit dimsum, lalu dikukus hingga matang.","Kulit Dimsum, Dada Ayam Fillet, Tepung Tapioka, Garam, Gula, Penyedap, Wortel, Putih Telur, Saus",142,361.6,16.9,18.2,32.3,1.5,155.5,0.4,1.5,43.5,10,0,10,10,0,0,0,30,Makanan
Sandwich Daging Sapi Cincang,https://drive.google.com/file/d/1QwtT2QTUcxyE5Cw63xuqvoJggEnpdgQa/view?usp=sharing,Roti lembut berisi daging sapi cincang yang dimasak dengan bumbu gurih dan sedikit manis.,"Roti Tawar, Daging Sapi, Mayonnaise, Keju Slice, Timun, Selada",91.9,238.5,8.5,6.1,36.9,0,588.9,1.8,0.8,158.5,10,3,10,0,3,0,7,33,Makanan
Nasi Usus Kerang Balado,https://drive.google.com/file/d/1sgVs0ETsVnbXJIKrGVyFXiMt02wHmTvX/view?usp=sharing,Nasi putih yang disajikan bersama usus ayam dan kerang yang dimasak dengan bumbu balado.,"Nasi, Usus Ayam, Garam, Penyedap, Kerang Hijau, Minyak",365.9,622.2,17.8,10.6,110.3,5.1,501.6,3.6,8.8,228.3,10,10,7,7,3,10,10,57,Makanan
Jus Buah Mix,https://drive.google.com/file/d/1syl90UMaxwPmZx_8toBg3LIDt1O3e4OI/view?usp=sharing,Minuman segar yang terbuat dari perpaduan buah stroberi segar dan pisang.,"Pisang, Stroberi, Air Gula, Susu Kental Manis, Es Batu",102.5,153.4,1,2,32.6,24.3,14.4,1.5,0.3,34.8,0,10,0,0,7,0,0,17,Minuman
Dimsum (Porsi Kecil),https://drive.google.com/file/d/1jb7oR1nVmYR5zFSUuvSJqyEUSc607MZV/view?usp=sharing,"Hidangan dimsum ukuran kecil yang dibuat dengan campuran daging ayam, tepung dan bumbu yang di bungkus dengan kulit pangsit atau kulit dimsum, lalu dikukus hingga matang.","Daging Ayam, Tepung Tapioka, Kulit Pangsit, Udang, Putih Telur, Wortel, Garam, Gula, Minyak Wijen, Kecap Asin, Saus Dimsum",23.75,50.1,2.1,2.1,5.6,0.3,166.2,0.1,0.3,15.1,10,0,10,0,0,3,0,23,Makanan
Takoyaki (Porsi Kecil),https://drive.google.com/file/d/1hALXHPIdVnPTtTKXGR2xMAvBkXM4sZKu/view?usp=sharing,"Cemilan khas Jepang berupa bola-bola adonan tepung dan dipanggang hingga kecokelatan. Disajikan dengan saus, mayones, taburan katsuobushi (serpihan ikan cakalang).","Tepung Terigu, Telur, Minyak, Garam",37.5,44,0.9,2.1,5.8,0,90.3,0,0.1,5.7,3,0,10,0,0,0,0,13,Makanan
Mie Ayam Komplit,https://drive.google.com/file/d/1nJp9pu3PIoP2ks05HtHX4TDY2774MwkG/view?usp=sharing,"Hidangan mie yang disajikan dengan topping ayam berbumbu gurih, dilengkapi dengan pangsit, ceker, bakso sapi kenyal dan kerupuk pangsit yang renyah.","Mie Basah, Sawi Hijau, Minyak Bawang, Kecap Asin, Bakso, Ceker Ayam, Daging Ayam, Kecap Manis, Gula, Garam, Minyak, Tepung Terigu, Kulit Pangsit",407.2,799.9,35.9,43.8,64.8,0.6,2229.7,4.3,3.9,149.7,10,0,10,0,3,0,0,23,Makanan
Fried Chicken Sambal Kecombrang,https://drive.google.com/file/d/11y2YkxoE2nyiVs71DrqUIiyOW1c8FHcZ/view?usp=drive_link,"Ayam goreng renyah yang dibalut tepung berbumbu gurih, disajikan dengan sambal kecombrang.","Daging Ayam Bagian Paha Bawah, Baking Powder, Telur, Garam, Air, Tepung Terigu, Tepung Tapioka, Minyak, Kecombrang, Tomat, Cabai Merah, Bawang Merah, Bawang Putih, Kaldu Jamur",43,119.4,4.1,9.2,5.5,0.1,499.2,0.1,0.6,29.9,10,0,10,0,0,0,0,20,Makanan
Cookies Red Velvet,https://drive.google.com/file/d/1h26Q-y18n8gYL09Yz0AhalB5D1g0rFkP/view?usp=sharing,"Kue kering berwarna merah khas dengan tekstur lembut di dalam dan sedikit renyah di luar, dipadukan dengan potongan cokelat putih yang manis dan creamy.","Mentega, Gula Pasir, Gula Aren, Susu Cair, Pasta Vanilla, Telur, Pasta Red Velvet, Tepung Terigu, Baking Powder, Garam",60,257.1,3,13.7,31.3,12,354.9,0.1,0.9,45.4,0,0,0,0,0,0,0,0,Makanan
Beef Burger,https://drive.google.com/file/d/1xpDkTIbsSzYGXsL57MaNmCCLdtJglJ1j/view?usp=sharing,Roti burger lembut yang diisi dengan patty daging sapi lalu dipanggang.,"Roti Burger, Keju Slice, Beef Burger, Margarin",118.4,282.7,14.6,10.8,31.2,4.7,871.4,0.9,0.1,207.2,10,0,3,0,0,0,7,20,Makanan
Nasi Ayam Katsu (Porsi Besar),https://drive.google.com/file/d/15DeBrWZq07hF0lvDe6AavoBR11pURUTE/view?usp=sharing,Nasi disajikan dengan ayam fillet yang digoreng tepung.,"Nasi, Daging Ayam Fillet, Garam, Lada, Tepung Terigu, Tepung Panir, Minyak, Saus Sambal, Mayonnaise",209.5,458.8,11.8,12.8,71.9,0,75.8,0.6,1.4,57.3,10,3,10,0,0,0,0,23,Makanan
Tahu Bulat,https://drive.google.com/file/d/1o78jQ8pky_MV9J0cDzyJhnIcVOMqQtIs/view?usp=drive_link,Cemilan berbahan dasar tahu yang berbentuk bulat dengan tekstur luar yang renyah dan bagian dalam yang lembut serta kopong.,"Tahu, Kuning Telur, Garam, Baking Powder, Minyak, Bumbu Balado, Bumbu Ayam Bawang, Bawang Goreng, Cabai Merah Keriting, Daun Jeruk",189,250.4,18.6,18.3,5.8,1.4,1256,0.2,6.1,477.4,10,0,10,0,0,0,0,20,Makanan
Sotong,https://drive.google.com/file/d/1p4H3DpQen2HHXchdRMseDes8Y7Gd3Z4l/view?usp=sharing,Terbuat dari adonan tepung berbumbu dengan tekstur yang renyah diluar dan lembut didalam.,"Tepung Terigu, Tepung Tapioka, Air, Telur, Garam, Bawang Putih, Kaldu Bubuk, Minyak",103.2,253.3,3.6,6.5,44.4,2.3,1235.4,0.3,1,36.8,0,3,7,0,0,0,0,10,Makanan
Nasi Ayam Geprek (Paha Atas Tanpa Sayuran),https://drive.google.com/file/d/1fwriuqW8KHn38NVSmLxsKrvEiOrtJ20J/view?usp=drive_link,Nasi Putih yang disajikan dengan ayam goreng tepung yang digeprek atau ditumbuk dan sambal bawang.,"Nasi, Daging Ayam Bagian Paha Atas, Tepung Terigu, Minyak, Sambal Geprek",285.4,697.7,20.4,37.1,70.6,0.1,88,0.3,2,52.3,10,0,10,0,0,0,0,20,Makanan
Kentang Goreng (Porsi Besar),https://drive.google.com/file/d/1YBFx_J04diPG8iCpeEK_AIY0hYuicnCq/view?usp=sharing,"Potongan kentang yang digoreng dalam minyak panas hingga berwarna keemasan dan renyah di luar, serta lembut di dalam.","Kentang, Tepung Terigu, Minyak, Bumbu Balado, Bumbu Asin",118.9,132,3.5,1.5,27.3,1.4,442.2,0.5,1,66,10,10,7,0,0,3,10,40,Makanan
Nasi Telur Dadar Usus Perkedel,https://drive.google.com/file/d/1-5UepCuO30MjvQQfvADtXBw8F-bcXDIG/view?usp=sharing,"Nasi yang disajikan dengan beberapa lauk yaitu telur dadar, usus goreng, perkedel dan dilengkapi dengan sambal.","Nasi, Telur, Minyak, Kol, Daun Bawang, Usus, MSG, Garam, Bawang Putih, Kemiri, Penyedap, Kentang, Sambal",284.1,520.8,14.2,21.6,65.5,1.3,292.1,1.2,3.2,109.6,10,0,10,10,0,3,0,33,Makanan
Kebab,https://drive.google.com/file/d/17qitfmN1qTJk_xBhzwFB8gN97N7fI0w4/view?usp=sharing,"Hidangan khas Timur Tengah yang disajikan dengan daging sapi, kemudian dipanggang hingga matang. Daging tersebut dibungkus menggunakan roti tortilla, dilengkapi dengan selada dan mayonnaise.","Kulit Tortila, Smoked Beef, Mayonnaise, Selada, Margarin",89.2,254.1,6.1,13.2,25,2.4,626.2,0.7,1.4,97.2,7,0,7,0,0,3,10,27,Makanan
